sample-id	host_species	host_subsection	latitude	longitude	BIOCLIM_1	BIOCLIM_12	aridity_index_UNEP	GTOPO30_ELEVATION	ISRICSOILGRIDS_new_average_phx10percent_reduced	ISRICSOILGRIDS_new_average_sandpercent_reduced	ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced
FL-2	Heuchera_longiflora_aceroides	Heuchera	36.4553528	-82.780539	129	1137	0.939865232	457	52	31	28
FL-20	Heuchera_longiflora_aceroides	Heuchera	37.6304667	-83.770767	124	1223	1.026226759	305	50	41	31
FL-21	Heuchera_longiflora_aceroides	Heuchera	35.9632083	-82.899089	124	1134	0.953205466	571	52	31	29
FL-22	Heuchera_longiflora_longiflora	Heuchera	36.5578028	-83.565797	127	1287	1.056753755	407	55	34	30
FL-23	Heuchera_longiflora_aceroides	Heuchera	36.3684472	-82.865333	127	1147	0.951131284	457	52	26	27
FL-24	Heuchera_longiflora_longiflora	Heuchera	36.519133	-83.475392	129	1257	1.027800918	396	57	30	28
FL-25	Heuchera_longiflora_longiflora	Heuchera	36.6679833	-83.230925	124	1253	1.041307092	435	55	38	31
FL-26	Heuchera_longiflora_aceroides	Heuchera	33.1415972	-86.258378	162	1463	1.070732594	240	53	41	20
FL-27	Heuchera_longiflora_longiflora	Heuchera	33.167145	-86.221316	163	1448	1.050907373	183	53	35	20
FL-3	Heuchera_longiflora_aceroides	Heuchera	36.3771889	-82.854369	131	1131	0.92205286	403	52	34	26
FL-4	Heuchera_longiflora_aceroides	Heuchera	36.3006806	-82.965453	131	1137	0.921745837	425	54	33	25
FL-5	Heuchera_longiflora_aceroides	Heuchera	36.4431806	-82.802606	130	1136	0.929277182	480	56	32	27
FL-6	Heuchera_longiflora_aceroides	Heuchera	36.4619917	-82.689403	130	1127	0.931994319	452	51	35	27
FL-7	Heuchera_longiflora_aceroides	Heuchera	36.484351	-82.702853	133	1117	0.907726705	366	57	29	28
FL-8	Heuchera_longiflora_longiflora	Heuchera	36.5873139	-83.418478	123	1285	1.073358893	489	56	28	29
FL-9	Heuchera_longiflora_longiflora	Heuchera	36.535025	-83.465767	130	1249	1.01881063	366	56	30	27
H102-3	Heuchera_americana_americana	Heuchera	37.8975	-78.946389	109	1157	1.093163729	470	51	42	56
H105-1	Heuchera_richardsonii	Heuchera	43.8438361	-102.43763	86	415	0.392920077	843	78	29	27
H107-1	Heuchera_parvifolia	Parvifoliae	44.3305556	-105.18611	69	382	0.361817926	1341	74	32	26
H107-2	Heuchera_parvifolia	Parvifoliae	44.3305556	-105.18611	69	382	0.361817926	1341	74	32	26
H113-1	Heuchera_cylindrica_glabella	Cylindricae	46.5875	-111.95056	68	298	0.294850498	1213	75	37	15
H115-2	Heuchera_cylindrica_glabella	Cylindricae	47.61	-111.26139	69	366	0.411891878	1097	73	37	19
H118-1	Heuchera_cylindrica_glabella	Cylindricae	48.49193	-113.341832	35	652	0.671777725	1524	56	45	47
H121-1	Heuchera_cylindrica_glabella	Cylindricae	47.3161111	-113.19361	16	623	0.765688658	2073	57	43	64
H124-1	Heuchera_cylindrica_glabella	Cylindricae	47.2955556	-119.3	103	195	0.193159416	408	76	43	21
H124-2	Heuchera_cylindrica_glabella	Cylindricae	47.2955556	-119.3	103	195	0.193159416	408	76	43	21
H127	Tiarella_trifoliata	Outgroup	47.427679	-121.413336	57	2106	3.092856169	941	51	60	79
H128	Mitella_pentandra	Outgroup	47.427673	-121.413197	57	2106	3.092856169	941	51	60	79
H129-1	Heuchera_micrantha_diversifolia	Micranthae	48.8166667	-121.795	25	1574	3.117156267	1472	53	58	102
H129-2	Heuchera_micrantha_diversifolia	Micranthae	48.8166667	-121.795	25	1574	3.117156267	1472	53	58	102
H130-2	Tellima_grandiflora	Outgroup	48.8630556	-120.09694	2	536	1.2496171	1963	53	62	53
H134-2	Heuchera_micrantha_diversifolia	Micranthae	48.9093917	-121.79867	68	1729	2.472723246	661	49	56	83
H136-2	Heuchera_micrantha_micrantha	Micranthae	45.5930556	-121.94194	93	2233	2.135615349	378	53	50	73
